Year,Month,avg salinity (psu)
2009,9,28.95461538
2009,10,30.82133333
2009,11,31.90433333
2009,12,30.74774194
2010,1,32.31037037
2010,2,31.16708333
2010,3,30.932
2010,4,29.447
2010,5,30.66354839
2010,6,28.66586207
2010,7,30.25
2010,10,32.10416667
2010,11,32.27842105
2010,12,32.35354839
2011,1,32.2308
2011,2,32.01607143
2011,3,31.57965517
2011,4,30.36214286
2011,5,30.36214286
2011,7,28.31933333
2011,8,30.87952381
2011,9,30.90689655
2011,10,30.9116129
2011,11,31.17533333
2011,12,31.66645161
2012,1,31.28758621
2012,2,31.22375
2012,8,31.51
2012,9,29.42529412
2012,10,32.13041667
2012,11,32.35461538
2012,12,31.94814815
2013,1,32.90076923
2013,2,32.97555556
2013,3,32.38935484
2013,4,31.82482759
2013,5,30.84551724
2013,6,30.26809524
2013,7,30.08
2013,9,25.32
2013,11,30.75941176
2013,12,29.66526316
2014,1,32.88555556
2014,3,32.51666667
2014,4,27.322
2014,5,29.425
2014,6,30.0775
2014,7,30.75
2014,10,32.1124
2014,11,32.57035714
2014,12,32.77130435
2015,1,32.9905
2015,2,32.91740741
2015,3,32.86967742
2015,4,32.22125
2015,5,31.04111111
2015,6,31.207
2015,7,30.71
2015,8,30.6816129
2015,9,29.18
2015,10,29.63935484
2015,11,27.3
2016,1,32.69153846
2016,2,32.56586207
2016,3,31.74354839
2016,4,31.21466667
2016,5,30.74129032
2016,6,31.38633333
2016,7,31.59225806
2016,8,31.71516129
2016,9,32.00818182
2016,11,32.8275
2016,12,32.87066667
2017,1,32.7552381
2017,2,32.7375
2017,3,32.52103448
2017,4,30.78827586
2017,5,29.32483871
2017,6,29.75142857
2017,7,30.18290323
2017,8,29.29703704
2017,9,30.57166667
2017,10,31.672
2017,11,31.75166667
2017,12,32.31903226
2018,1,32.68083333
2018,2,32.62392857
2018,3,32.32935484
2018,4,31.715
2018,5,30.23666667
2018,6,30.97172414
2018,7,31.15851852
2018,8,30.83
2018,10,31.93227273
2018,11,31.96206897
2018,12,32.38448276
