,Study,Site,percent_cover,individual_per_sq_m,Longitude,Latitude,year
44,Normandeau,Seabrook Station B19,NA,2.24,-70.808254,42.892011,1978
78,Normandeau,Seabrook Station B31,NA,5.52,-70.808254,42.892011,1978
12,witman_gom,Star Island,NA,21.87,-70.616525,42.975744,1979
45,Normandeau,Seabrook Station B19,NA,6.16,-70.808254,42.892011,1979
79,Normandeau,Seabrook Station B31,NA,12.36,-70.808254,42.892011,1979
46,Normandeau,Seabrook Station B19,NA,11.25,-70.808254,42.892011,1980
80,Normandeau,Seabrook Station B31,NA,17.01,-70.808254,42.892011,1980
47,Normandeau,Seabrook Station B19,NA,13.45,-70.808254,42.892011,1981
81,Normandeau,Seabrook Station B31,NA,14.65,-70.808254,42.892011,1981
48,Normandeau,Seabrook Station B19,NA,10.62,-70.808254,42.892011,1982
82,Normandeau,Seabrook Station B31,NA,13.23,-70.808254,42.892011,1982
7,witman_gom,Murray Rock,NA,30.74,-70.608241,43.071741,1983
49,Normandeau,Seabrook Station B19,NA,19.5,-70.808254,42.892011,1983
83,Normandeau,Seabrook Station B31,NA,12.18,-70.808254,42.892011,1983
50,Normandeau,Seabrook Station B19,NA,14.64,-70.808254,42.892011,1984
84,Normandeau,Seabrook Station B31,NA,8.79,-70.808254,42.892011,1984
17,Normandeau,Seabrook Station B17,10,2.8,-70.808254,42.892011,1985
51,Normandeau,Seabrook Station B19,7,15.69,-70.808254,42.892011,1985
85,Normandeau,Seabrook Station B31,52,10.17,-70.808254,42.892011,1985
112,Normandeau,Seabrook Station B35,11,2.34,-70.808254,42.892011,1985
18,Normandeau,Seabrook Station B17,9,2.03,-70.808254,42.892011,1986
52,Normandeau,Seabrook Station B19,10,8.84,-70.808254,42.892011,1986
86,Normandeau,Seabrook Station B31,45,6.94,-70.808254,42.892011,1986
113,Normandeau,Seabrook Station B35,16,3.98,-70.808254,42.892011,1986
19,Normandeau,Seabrook Station B17,12,2.9,-70.808254,42.892011,1987
53,Normandeau,Seabrook Station B19,11,12.22,-70.808254,42.892011,1987
87,Normandeau,Seabrook Station B31,29,7.13,-70.808254,42.892011,1987
114,Normandeau,Seabrook Station B35,15,4.96,-70.808254,42.892011,1987
20,Normandeau,Seabrook Station B17,11,3.84,-70.808254,42.892011,1988
54,Normandeau,Seabrook Station B19,24,14.2,-70.808254,42.892011,1988
88,Normandeau,Seabrook Station B31,39,9.17,-70.808254,42.892011,1988
115,Normandeau,Seabrook Station B35,9,3.14,-70.808254,42.892011,1988
21,Normandeau,Seabrook Station B17,15,2.48,-70.808254,42.892011,1989
55,Normandeau,Seabrook Station B19,15,13.41,-70.808254,42.892011,1989
89,Normandeau,Seabrook Station B31,32,6.99,-70.808254,42.892011,1989
116,Normandeau,Seabrook Station B35,12,1.89,-70.808254,42.892011,1989
