"";"X";"Study";"Site";"percent_cover";"individual_per_sq_m";"Longitude";"Latitude";"year"
"1";44;"Normandeau";"Seabrook Station B19";NA;2,24;-70,808254;42,892011;1978
"2";78;"Normandeau";"Seabrook Station B31";NA;5,52;-70,808254;42,892011;1978
"3";12;"witman_gom";"Star Island";NA;21,87;-70,616525;42,975744;1979
"4";45;"Normandeau";"Seabrook Station B19";NA;6,16;-70,808254;42,892011;1979
"5";79;"Normandeau";"Seabrook Station B31";NA;12,36;-70,808254;42,892011;1979
"6";46;"Normandeau";"Seabrook Station B19";NA;11,25;-70,808254;42,892011;1980
"7";80;"Normandeau";"Seabrook Station B31";NA;17,01;-70,808254;42,892011;1980
"8";47;"Normandeau";"Seabrook Station B19";NA;13,45;-70,808254;42,892011;1981
"9";81;"Normandeau";"Seabrook Station B31";NA;14,65;-70,808254;42,892011;1981
"10";48;"Normandeau";"Seabrook Station B19";NA;10,62;-70,808254;42,892011;1982
"11";82;"Normandeau";"Seabrook Station B31";NA;13,23;-70,808254;42,892011;1982
"12";7;"witman_gom";"Murray Rock";NA;30,74;-70,608241;43,071741;1983
"13";49;"Normandeau";"Seabrook Station B19";NA;19,5;-70,808254;42,892011;1983
"14";83;"Normandeau";"Seabrook Station B31";NA;12,18;-70,808254;42,892011;1983
"15";50;"Normandeau";"Seabrook Station B19";NA;14,64;-70,808254;42,892011;1984
"16";84;"Normandeau";"Seabrook Station B31";NA;8,79;-70,808254;42,892011;1984
"17";17;"Normandeau";"Seabrook Station B17";10;2,8;-70,808254;42,892011;1985
"18";51;"Normandeau";"Seabrook Station B19";7;15,69;-70,808254;42,892011;1985
"19";85;"Normandeau";"Seabrook Station B31";52;10,17;-70,808254;42,892011;1985
"20";112;"Normandeau";"Seabrook Station B35";11;2,34;-70,808254;42,892011;1985
"21";18;"Normandeau";"Seabrook Station B17";9;2,03;-70,808254;42,892011;1986
"22";52;"Normandeau";"Seabrook Station B19";10;8,84;-70,808254;42,892011;1986
"23";86;"Normandeau";"Seabrook Station B31";45;6,94;-70,808254;42,892011;1986
"24";113;"Normandeau";"Seabrook Station B35";16;3,98;-70,808254;42,892011;1986
"25";19;"Normandeau";"Seabrook Station B17";12;2,9;-70,808254;42,892011;1987
"26";53;"Normandeau";"Seabrook Station B19";11;12,22;-70,808254;42,892011;1987
"27";87;"Normandeau";"Seabrook Station B31";29;7,13;-70,808254;42,892011;1987
"28";114;"Normandeau";"Seabrook Station B35";15;4,96;-70,808254;42,892011;1987
"29";20;"Normandeau";"Seabrook Station B17";11;3,84;-70,808254;42,892011;1988
"30";54;"Normandeau";"Seabrook Station B19";24;14,2;-70,808254;42,892011;1988
"31";88;"Normandeau";"Seabrook Station B31";39;9,17;-70,808254;42,892011;1988
"32";115;"Normandeau";"Seabrook Station B35";9;3,14;-70,808254;42,892011;1988
"33";21;"Normandeau";"Seabrook Station B17";15;2,48;-70,808254;42,892011;1989
"34";55;"Normandeau";"Seabrook Station B19";15;13,41;-70,808254;42,892011;1989
"35";89;"Normandeau";"Seabrook Station B31";32;6,99;-70,808254;42,892011;1989
"36";116;"Normandeau";"Seabrook Station B35";12;1,89;-70,808254;42,892011;1989
"37";22;"Normandeau";"Seabrook Station B17";9;1,51;-70,808254;42,892011;1990
"38";56;"Normandeau";"Seabrook Station B19";20;11,31;-70,808254;42,892011;1990
"39";90;"Normandeau";"Seabrook Station B31";30;7,68;-70,808254;42,892011;1990
"40";117;"Normandeau";"Seabrook Station B35";13;1,96;-70,808254;42,892011;1990
"41";23;"Normandeau";"Seabrook Station B17";4;1,05;-70,808254;42,892011;1991
"42";57;"Normandeau";"Seabrook Station B19";2;7,34;-70,808254;42,892011;1991
"43";91;"Normandeau";"Seabrook Station B31";26;5,63;-70,808254;42,892011;1991
"44";118;"Normandeau";"Seabrook Station B35";12;2,06;-70,808254;42,892011;1991
"45";24;"Normandeau";"Seabrook Station B17";6;4,05;-70,808254;42,892011;1992
"46";58;"Normandeau";"Seabrook Station B19";2;7,28;-70,808254;42,892011;1992
"47";92;"Normandeau";"Seabrook Station B31";33;7,89;-70,808254;42,892011;1992
"48";119;"Normandeau";"Seabrook Station B35";25;2,73;-70,808254;42,892011;1992
"49";25;"Normandeau";"Seabrook Station B17";3;5,13;-70,808254;42,892011;1993
"50";59;"Normandeau";"Seabrook Station B19";2;5,63;-70,808254;42,892011;1993
"51";93;"Normandeau";"Seabrook Station B31";26;6,47;-70,808254;42,892011;1993
"52";120;"Normandeau";"Seabrook Station B35";18;3,77;-70,808254;42,892011;1993
"53";26;"Normandeau";"Seabrook Station B17";9;3,35;-70,808254;42,892011;1994
"54";60;"Normandeau";"Seabrook Station B19";1;8,72;-70,808254;42,892011;1994
"55";94;"Normandeau";"Seabrook Station B31";12;11,15;-70,808254;42,892011;1994
"56";121;"Normandeau";"Seabrook Station B35";18;4,5;-70,808254;42,892011;1994
"57";8;"witman_gom";"Murray Rock";NA;0,333333;-70,608241;43,071741;1995
"58";27;"Normandeau";"Seabrook Station B17";3;1,61;-70,808254;42,892011;1995
"59";61;"Normandeau";"Seabrook Station B19";1;10,04;-70,808254;42,892011;1995
"60";95;"Normandeau";"Seabrook Station B31";3;9,48;-70,808254;42,892011;1995
"61";122;"Normandeau";"Seabrook Station B35";6;3,04;-70,808254;42,892011;1995
"62";1;"witman_gom";"Boon Island";NA;2,5;-70,47571;43,121676;1996
"63";4;"witman_gom";"Kennebunk Ledge";NA;1,638889;-70,223764;43,653528;1996
"64";9;"witman_gom";"Murray Rock";NA;0,5625;-70,608241;43,071741;1996
"65";13;"witman_gom";"Star Island";NA;0;-70,616525;42,975744;1996
"66";28;"Normandeau";"Seabrook Station B17";3;2,55;-70,808254;42,892011;1996
"67";62;"Normandeau";"Seabrook Station B19";1;8,15;-70,808254;42,892011;1996
"68";96;"Normandeau";"Seabrook Station B31";7;11,25;-70,808254;42,892011;1996
"69";123;"Normandeau";"Seabrook Station B35";12;3,21;-70,808254;42,892011;1996
"70";139;"steneck_gom";"Jonesport - browney";34,13462;NA;-67,624035;44,463898;1996
"71";146;"steneck_gom";"Jonesport - outer ram";0;NA;-67,636667;44,4916667;1996
"72";152;"steneck_gom";"Jonesport - outer sand";2,936508;NA;-67,678333;44,4616667;1996
"73";161;"steneck_gom";"Jonesport - sea duck";55,13636;NA;-67,65292;44,491517;1996
"74";209;"steneck_gom";"York - york a";41,63889;NA;-70,736;43,112;1996
"75";217;"steneck_gom";"York - york b";10,65;NA;-70,63;43,118;1996
"76";225;"steneck_gom";"York - york c";23,76744;NA;-70,621;43,134;1996
"77";233;"steneck_gom";"York - york d";22,45946;NA;-70,618;43,141;1996
"78";2;"witman_gom";"Boon Island";NA;0,666667;-70,47571;43,121676;1997
"79";5;"witman_gom";"Kennebunk Ledge";NA;5,944444;-70,223764;43,653528;1997
"80";10;"witman_gom";"Murray Rock";NA;0,5;-70,608241;43,071741;1997
"81";14;"witman_gom";"Star Island";NA;0,416667;-70,616525;42,975744;1997
