YEAR,SPECIES,METRIC.TONS
1950,ATLANTIC COD,2999.61
1951,ATLANTIC COD,2400.78
1952,ATLANTIC COD,2093.1
1953,ATLANTIC COD,1709.64
1954,ATLANTIC COD,1673.26
1955,ATLANTIC COD,1298.73
1956,ATLANTIC COD,1245.66
1957,ATLANTIC COD,1067.03
1958,ATLANTIC COD,1240.76
1959,ATLANTIC COD,1221.98
1960,ATLANTIC COD,1314.15
1961,ATLANTIC COD,1136.93
1962,ATLANTIC COD,1025.12
1963,ATLANTIC COD,889.13
1964,ATLANTIC COD,1086.01
1965,ATLANTIC COD,1198.25
1966,ATLANTIC COD,1271.13
1967,ATLANTIC COD,1585.54
1968,ATLANTIC COD,2284.57
1969,ATLANTIC COD,2094.11
1970,ATLANTIC COD,2461.47
1971,ATLANTIC COD,1986.5
1972,ATLANTIC COD,2010.45
1973,ATLANTIC COD,1830.2
1974,ATLANTIC COD,1816.04
1975,ATLANTIC COD,2537.66
1976,ATLANTIC COD,2887.88
1977,ATLANTIC COD,4139.2
1978,ATLANTIC COD,4937.82
1979,ATLANTIC COD,4685.71
1980,ATLANTIC COD,5189.58
1981,ATLANTIC COD,4602.32
1982,ATLANTIC COD,5557.33
1983,ATLANTIC COD,5480.82
1984,ATLANTIC COD,5349.89
1985,ATLANTIC COD,4696.02
1986,ATLANTIC COD,4606.12
1987,ATLANTIC COD,4506.51
1988,ATLANTIC COD,3676.24
1989,ATLANTIC COD,5622.68
1990,ATLANTIC COD,6929.31
1991,ATLANTIC COD,9607.05
1992,ATLANTIC COD,5894.53
1993,ATLANTIC COD,4181.11
1994,ATLANTIC COD,3742.25
1995,ATLANTIC COD,2414.77
1996,ATLANTIC COD,2206.43
1997,ATLANTIC COD,1806.99
1998,ATLANTIC COD,1088.68
1999,ATLANTIC COD,713.82
2000,ATLANTIC COD,1180.36
2001,ATLANTIC COD,1334.44
2002,ATLANTIC COD,1317.27
2003,ATLANTIC COD,1082.57
2004,ATLANTIC COD,1076.2
2005,ATLANTIC COD,891.11
2006,ATLANTIC COD,644.21
2007,ATLANTIC COD,622.21
2008,ATLANTIC COD,600.77
2009,ATLANTIC COD,561.95
2010,ATLANTIC COD,339.35
2011,ATLANTIC COD,369.26
2012,ATLANTIC COD,223.49
2013,ATLANTIC COD,129.86
2014,ATLANTIC COD,183.31
2015,ATLANTIC COD,115.48
2016,ATLANTIC COD,75.33
2017,ATLANTIC COD,36.43
2018,ATLANTIC COD,40.83
2019,ATLANTIC COD,40
1964,SEA URCHIN,54.88467677
1965,SEA URCHIN,57.152638620000005
1966,SEA URCHIN,64.86370891
1967,SEA URCHIN,50.34875307
1968,SEA URCHIN,37.648166710000005
1969,SEA URCHIN,36.74098197
1970,SEA URCHIN,27.2155422
1971,SEA URCHIN,23.58680324
1972,SEA URCHIN,22.679618500000004
1973,SEA URCHIN,58.05982336
1974,SEA URCHIN,21.31884139
1975,SEA URCHIN,19.05087954
1976,SEA URCHIN,16.32932532
1977,SEA URCHIN,25.85476509
1978,SEA URCHIN,3.62873896
1979,SEA URCHIN,1.3607771100000001
1980,SEA URCHIN,14.968548210000002
1981,SEA URCHIN,1.81436948
1982,SEA URCHIN,0
1983,SEA URCHIN,0
1984,SEA URCHIN,23.13321087
1985,SEA URCHIN,0
1986,SEA URCHIN,0
1987,SEA URCHIN,653.1730128
1988,SEA URCHIN,2822.2517261400003
1989,SEA URCHIN,4275.56167962
1990,SEA URCHIN,6104.89970783
1991,SEA URCHIN,9314.51931795
1992,SEA URCHIN,11992.07507806
1993,SEA URCHIN,18880.782401250002
1994,SEA URCHIN,17371.22699389
1995,SEA URCHIN,15544.156927529999
1996,SEA URCHIN,11676.82838091
1997,SEA URCHIN,8840.061698930002
1998,SEA URCHIN,6828.37953798
1999,SEA URCHIN,7001.198230950001
2000,SEA URCHIN,5850.43438826
2001,SEA URCHIN,4557.6961337600005
2002,SEA URCHIN,2867.15737077
2003,SEA URCHIN,2704.77130231
2004,SEA URCHIN,2604.52738854
2005,SEA URCHIN,1595.28436529
2006,SEA URCHIN,1529.51347164
2007,SEA URCHIN,1254.63649542
2008,SEA URCHIN,1387.08546746
2009,SEA URCHIN,1581.67659419
2010,SEA URCHIN,1175.71142304
2011,SEA URCHIN,1091.7968345900001
2012,SEA URCHIN,863.63987248
2013,SEA URCHIN,901.74163156
2014,SEA URCHIN,888.13386046
2015,SEA URCHIN,884.9587138700001
2016,SEA URCHIN,933.49309746
2017,SEA URCHIN,885.41230624
2018,SEA URCHIN,926.6892119100002
2019,SEA URCHIN,774.2821755900001
