"";"Year";"Crab.abundance"
"1";1978;0,437288136
"2";1979;0,457627119
"3";1980;1,13559322
"4";1981;0,53220339
"5";1982;0,33559322
"6";1983;0,288135593
"7";1984;0,233898305
"8";1985;0,349152542
"9";1986;0,145762712
"10";1987;0,301694915
"11";1988;0,13220339
"12";1989;0,077966102
"13";1990;0,06440678
"14";1991;0,098305085
"15";1992;0,105084746
"16";1993;0,186440678
"17";1994;0,172881356
"18";1995;0,450847458
"19";1996;0,430508475
"20";1997;0,640677966
"21";1998;1,481355932
"22";1999;2,172881356
"23";2000;2,437288136
"24";2001;2,762711864
"25";2002;2,233898305
"26";2003;1,915254237
"27";2004;0,633898305
"28";2005;0,572881356
"29";2006;0,416949153
"30";2007;0,53220339
"31";2008;1,705084746
"32";2009;2,261016949
"33";2010;1,996610169
"34";2011;1,237288136
