YEAR,SPECIES,METRIC.TONS,LIVE.POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICE.LB
1950,ATLANTIC COD,2999.61,"6 ,613,000",6.613,"$304,150",$0.30,$0.05
1951,ATLANTIC COD,2400.78,"5 ,292,800",5.2928,"$289,632",$0.29,$0.05
1952,ATLANTIC COD,2093.1,"4 ,614,500",4.6145,"$256,454",$0.26,$0.06
1953,ATLANTIC COD,1709.64,"3 ,769,100",3.7691,"$213,921",$0.21,$0.06
1954,ATLANTIC COD,1673.26,"3 ,688,900",3.6889,"$195,077",$0.20,$0.05
1955,ATLANTIC COD,1298.73,"2 ,863,200",2.8632,"$146,214",$0.15,$0.05
1956,ATLANTIC COD,1245.66,"2 ,746,200",2.7462,"$133,730",$0.13,$0.05
1957,ATLANTIC COD,1067.03,"2 ,352,400",2.3524,"$122,732",$0.12,$0.05
1958,ATLANTIC COD,1240.76,"2 ,735,400",2.7354,"$150,074",$0.15,$0.05
1959,ATLANTIC COD,1221.98,"2 ,694,000",2.694,"$144,403",$0.14,$0.05
1960,ATLANTIC COD,1314.15,"2 ,897,200",2.8972,"$144,470",$0.14,$0.05
1961,ATLANTIC COD,1136.93,"2 ,506,500",2.5065,"$124,007",$0.12,$0.05
1962,ATLANTIC COD,1025.12,"2 ,260,000",2.26,"$107,384",$0.11,$0.05
1963,ATLANTIC COD,889.13,"1 ,960,200",1.9602,"$87,644",$0.09,$0.04
1964,ATLANTIC COD,1086.01,"2 ,394,246",2.3942,"$107,302",$0.11,$0.04
1965,ATLANTIC COD,1198.25,"2 ,641,683",2.6417,"$129,719",$0.13,$0.05
1966,ATLANTIC COD,1271.13,"2 ,802,362",2.8024,"$176,295",$0.18,$0.06
1967,ATLANTIC COD,1585.54,"3 ,495,513",3.4955,"$187,564",$0.19,$0.05
1968,ATLANTIC COD,2284.57,"5 ,036,606",5.0366,"$235,179",$0.24,$0.05
1969,ATLANTIC COD,2094.11,"4 ,616,709",4.6167,"$237,851",$0.24,$0.05
1970,ATLANTIC COD,2461.47,"5 ,426,597",5.4266,"$356,915",$0.36,$0.07
1971,ATLANTIC COD,1986.5,"4 ,379,488",4.3795,"$335,212",$0.34,$0.08
1972,ATLANTIC COD,2010.45,"4 ,432,288",4.4323,"$436,649",$0.44,$0.10
1973,ATLANTIC COD,1830.2,"4 ,034,894",4.0349,"$497,687",$0.50,$0.12
1974,ATLANTIC COD,1816.04,"4 ,003,672",4.0037,"$541,414",$0.54,$0.14
1975,ATLANTIC COD,2537.66,"5 ,594,578",5.5946,"$910,725",$0.91,$0.16
1976,ATLANTIC COD,2887.88,"6 ,366,673",6.3667,"$1,429,263",$1.43,$0.22
1977,ATLANTIC COD,4139.2,"9 ,125,373",9.1254,"$1,974,989",$1.97,$0.22
1978,ATLANTIC COD,4937.82,"1 0,886,020",10.886,"$2,263,753",$2.26,$0.21
1979,ATLANTIC COD,4685.71,"1 0,330,200",10.3302,"$2,591,490",$2.59,$0.25
1980,ATLANTIC COD,5189.58,"1 1,441,058",11.4411,"$2,659,426",$2.66,$0.23
1981,ATLANTIC COD,4602.32,"1 0,146,371",10.1464,"$3,169,504",$3.17,$0.31
1982,ATLANTIC COD,5557.33,"1 2,251,802",12.2518,"$3,658,222",$3.66,$0.30
1983,ATLANTIC COD,5480.82,"1 2,083,116",12.0831,"$3,736,262",$3.74,$0.31
1984,ATLANTIC COD,5349.89,"1 1,794,465",11.7945,"$3,943,350",$3.94,$0.33
1985,ATLANTIC COD,4696.02,"1 0,352,939",10.3529,"$4,095,390",$4.10,$0.40
1986,ATLANTIC COD,4606.12,"1 0,154,740",10.1547,"$5,526,283",$5.53,$0.54
1987,ATLANTIC COD,4506.51,"9 ,935,134",9.9351,"$6,989,634",$6.99,$0.70
1988,ATLANTIC COD,3676.24,"8 ,104,717",8.1047,"$4,033,956",$4.03,$0.50
1989,ATLANTIC COD,5622.68,"1 2,395,874",12.3959,"$7,253,087",$7.25,$0.59
1990,ATLANTIC COD,6929.31,"1 5,276,501",15.2765,"$9,388,134",$9.39,$0.61
1991,ATLANTIC COD,9607.05,"2 1,179,886",21.1799,"$16,285,661",$16.29,$0.77
1992,ATLANTIC COD,5894.53,"1 2,995,190",12.9952,"$10,789,171",$10.79,$0.83
1993,ATLANTIC COD,4181.11,"9 ,217,757",9.2178,"$7,963,623",$7.96,$0.86
1994,ATLANTIC COD,3742.25,"8 ,250,246",8.2502,"$7,079,548",$7.08,$0.86
1995,ATLANTIC COD,2414.77,"5 ,323,648",5.3236,"$5,087,070",$5.09,$0.96
1996,ATLANTIC COD,2206.43,"4 ,864,337",4.8643,"$4,078,101",$4.08,$0.84
1997,ATLANTIC COD,1806.99,"3 ,983,734",3.9837,"$3,413,268",$3.41,$0.86
1998,ATLANTIC COD,1088.68,"2 ,400,124",2.4001,"$2,582,965",$2.58,$1.08
1999,ATLANTIC COD,713.82,"1,573,694",1.5737,"$1,851,678",$1.85,$1.18
2000,ATLANTIC COD,1180.36,"2 ,602,240",2.6022,"$2,994,368",$2.99,$1.15
2001,ATLANTIC COD,1334.44,"2 ,941,934",2.9419,"$3,114,399",$3.11,$1.06
2002,ATLANTIC COD,1317.27,"2 ,904,089",2.9041,"$3,203,755",$3.20,$1.10
2003,ATLANTIC COD,1082.57,"2 ,386,655",2.3867,"$2,954,969",$2.95,$1.24
2004,ATLANTIC COD,1076.2,"2 ,372,604",2.3726,"$3,161,157",$3.16,$1.33
2005,ATLANTIC COD,891.11,"1 ,964,554",1.9646,"$2,815,242",$2.82,$1.43
2006,ATLANTIC COD,644.21,"1 ,420,243",1.4202,"$2,371,488",$2.37,$1.67
2007,ATLANTIC COD,622.21,"1 ,371,737",1.3717,"$2,215,546",$2.22,$1.62
2008,ATLANTIC COD,600.77,"1 ,324,467",1.3245,"$3,769,248",$3.77,$2.85
2009,ATLANTIC COD,561.95,"1 ,238,893",1.2389,"$1,534,862",$1.53,$1.24
2010,ATLANTIC COD,339.35,"7 48,130",0.7481,"$1,388,705",$1.39,$1.86
2011,ATLANTIC COD,369.26,"814,075",0.8141,"$1,617,475",$1.62,$1.99
2012,ATLANTIC COD,223.49,"492,714",0.4927,"$1,234,108",$1.23,$2.50
2013,ATLANTIC COD,129.86,"286,299",0.2863,"$736,154",$0.74,$2.57
2014,ATLANTIC COD,183.31,"404,122",0.4041,"$884,372",$0.88,$2.19
2015,ATLANTIC COD,115.48,"254,596",0.2546,"$496,752",$0.50,$1.95
2016,ATLANTIC COD,75.33,"166,082",0.1661,"$341,502",$0.34,$2.06
2017,ATLANTIC COD,36.43,"80,312",0.0803,"$218,930",$0.22,$2.73
2018,ATLANTIC COD,40.83,"90,017",0.09,"$212,132",$0.21,$2.36
2019*,ATLANTIC COD,40,"88,181",0.0882,"$240,687",$0.24,$2.73
