YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICE.LB
1950,CRAB - combo,650.63,"1,434,400",1.4344,"$37,654",$0.04,$0.03
1951,CRAB - combo,340.06,"749,700",0.7497,"$27,731",$0.03,$0.04
1952,CRAB - combo,170.28,"375,400",0.3754,"$15,204",$0.02,$0.04
1953,CRAB - combo,271.43,"598,400",0.5984,"$29,110",$0.03,$0.05
1954,CRAB - combo,235.69,"519,600",0.5196,"$27,498",$0.03,$0.05
1955,CRAB - combo,226.48,"499,300",0.4993,"$25,977",$0.03,$0.05
1956,CRAB - combo,544.18,"1,199,700",1.1997,"$34,797",$0.03,$0.03
1957,CRAB - combo,343.1,"756,400",0.7564,"$36,462",$0.04,$0.05
1958,CRAB - combo,549.03,"1,210,400",1.2104,"$45,828",$0.05,$0.04
1959,CRAB - combo,616.21,"1,358,500",1.3585,"$54,964",$0.05,$0.04
1960,CRAB - combo,555.79,"1,225,300",1.2253,"$53,636",$0.05,$0.04
1961,CRAB - combo,716.36,"1,579,300",1.5793,"$58,385",$0.06,$0.04
1962,CRAB - combo,794.47,"1,751,500",1.7515,"$67,952",$0.07,$0.04
1963,CRAB - combo,912.13,"2,010,900",2.0109,"$84,522",$0.08,$0.04
1964,CRAB - combo,868.46,"1,914,617",1.9146,"$78,155",$0.08,$0.04
1965,CRAB - combo,838.2,"1,847,907",1.8479,"$73,591",$0.07,$0.04
1966,CRAB - combo,804.76,"1,774,188",1.7742,"$75,111",$0.08,$0.04
1967,CRAB - combo,761.32,"1,678,413",1.6784,"$75,623",$0.08,$0.05
1968,CRAB - combo,658.91,"1,452,647",1.4526,"$77,275",$0.08,$0.05
1969,CRAB - combo,537.54,"1,185,061",1.1851,"$66,460",$0.07,$0.06
1970,CRAB - combo,712.66,"1,571,140",1.5711,"$89,651",$0.09,$0.06
1971,CRAB - combo,358.23,"789,765",0.7898,"$52,326",$0.05,$0.07
1972,CRAB - combo,341.92,"753,805",0.7538,"$63,020",$0.06,$0.08
1973,CRAB - combo,508.57,"1,121,197",1.1212,"$109,004",$0.11,$0.10
1974,CRAB - combo,437.18,"963,820",0.9638,"$91,902",$0.09,$0.10
1975,CRAB - combo,576.59,"1,271,164",1.2712,"$676,706",$0.68,$0.53
1976,CRAB - combo,518.79,"1,143,725",1.1437,"$101,525",$0.10,$0.09
1977,CRAB - combo,650.27,"1,433,596",1.4336,"$142,106",$0.14,$0.10
1978,CRAB - combo,685.09,"1,510,374",1.5104,"$180,474",$0.18,$0.12
1979,CRAB - combo,609.71,"1,344,179",1.3442,"$213,616",$0.21,$0.16
1980,CRAB - combo,578.65,"1,275,695",1.2757,"$248,401",$0.25,$0.19
1981,CRAB - combo,448.13,"987,966",0.988,"$188,733",$0.19,$0.19
1982,CRAB - combo,817.48,"1,802,225",1.8022,"$345,681",$0.35,$0.19
1983,CRAB - combo,926.52,"2,042,635",2.0426,"$445,953",$0.45,$0.22
1984,CRAB - combo,1057.31,"2,330,960",2.331,"$481,853",$0.48,$0.21
1985,CRAB - combo,1052.95,"2,321,353",2.3214,"$438,486",$0.44,$0.19
1986,CRAB - combo,844.83,"1,862,525",1.8625,"$383,215",$0.38,$0.21
1987,CRAB - combo,1498.42,"3,303,457",3.3035,"$693,737",$0.69,$0.21
1988,CRAB - combo,1415.44,"3,120,498",3.1205,"$667,531",$0.67,$0.21
1989,CRAB - combo,1557.46,"3,433,600",3.4336,"$839,926",$0.84,$0.24
1990,CRAB - combo,1631.48,"3,596,796",3.5968,"$831,615",$0.83,$0.23
1991,CRAB - combo,1346.47,"2,968,451",2.9685,"$687,576",$0.69,$0.23
1992,CRAB - combo,875.61,"1,930,396",1.9304,"$540,158",$0.54,$0.28
1993,CRAB - combo,963.52,"2,124,193",2.1242,"$569,915",$0.57,$0.27
1994,CRAB - combo,912.66,"2,012,073",2.0121000000000002,"$536,073",$0.54,$0.27
1995,CRAB - combo,995.03,"2,193,658",2.1937,"$658,691",$0.66,$0.30
1996,CRAB - combo,816.56,"1,800,214",1.8002,"$578,015",$0.58,$0.32
1997,CRAB - combo,1279.31,"2,820,385",2.8204,"$1,002,918",$1.00,$0.36
1998,CRAB - combo,1409.63,"3,107,696",3.1077,"$1,115,038",$1.12,$0.36
1999,CRAB - combo,1248.34,"2,752,114",2.7521,"$952,452",$0.95,$0.35
2000,CRAB - combo,2375.07,"5,236,116",5.2361,"$2,196,336",$2.20,$0.42
2001,CRAB - combo,3656.29,"8,060,739",8.0607,"$3,431,119",$3.43,$0.43
2002,CRAB - combo,4325.41,"9,535,876",9.5359,"$4,101,047",$4.10,$0.43
2003,CRAB - combo,2973.27,"6,554,938",6.5549,"$2,684,181",$2.68,$0.41
2004,CRAB - combo,2658.63,"5,861,264",5.8613,"$2,302,868",$2.30,$0.39
2005,CRAB - combo,2724.06,"6,005,511",6.0055,"$2,330,780",$2.33,$0.39
2006,CRAB - combo,2036.24,"4,489,135",4.4891,"$1,650,630",$1.65,$0.37
2007,CRAB - combo,2162.98,"4,768,539",4.7685,"$1,713,728",$1.71,$0.36
2008,CRAB - combo,1627.74,"3,588,539",3.5885,"$1,295,443",$1.30,$0.36
