YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICE.LB
1964,SEA URCHIN,54.843011489999995,120908,0.121,"$3,377",$0.00,$0.03
1965,SEA URCHIN,57.174025459999996,126047,0.126,"$2,987",$0.00,$0.02
1966,SEA URCHIN,64.86151808000001,142995,0.143,"$4,193",$0.00,$0.03
1967,SEA URCHIN,50.15150003,110565,0.111,"$2,908",$0.00,$0.03
1968,SEA URCHIN,37.51213361000001,82700,0.083,"$3,180",$0.00,$0.04
1969,SEA URCHIN,36.72832506000001,80972,0.081,"$5,700",$0.01,$0.07
1970,SEA URCHIN,27.306293150000002,60200,0.06,"$3,512",$0.00,$0.06
1971,SEA URCHIN,23.634458550000005,52105,0.052,"$4,225",$0.00,$0.08
1972,SEA URCHIN,22.502744239999995,49610,0.05,"$3,837",$0.00,$0.08
1973,SEA URCHIN,58.240422390000006,128398,0.128,"$9,078",$0.01,$0.07
1974,SEA URCHIN,21.194128690000003,46725,0.047,"$3,365",$0.00,$0.07
1975,SEA URCHIN,19.038655190000004,41973,0.042,"$2,752",$0.00,$0.07
1976,SEA URCHIN,16.371982470000003,36094,0.036,"$2,234",$0.00,$0.06
1977,SEA URCHIN,26.037140190000002,57402,0.057,"$7,328",$0.01,$0.13
1978,SEA URCHIN,3.6169498599999996,7974,0.008,$859,$0.00,$0.11
1979,SEA URCHIN,1.3644074720000001,3008,0.003,$306,$0.00,$0.10
1980,SEA URCHIN,15.10464388,33300,0.033,"$2,391",$0.00,$0.07
1981,SEA URCHIN,1.658335677,3656,0.004,$420,$0.00,$0.11
1982,SEA URCHIN,NA,NA,0,NA,NA,NA
1983,SEA URCHIN,NA,NA,0,NA,NA,NA
1984,SEA URCHIN,23.03798387,50790,0.051,"$4,056",$0.00,$0.08
1985,SEA URCHIN,NA,NA,0,NA,NA,NA
1986,SEA URCHIN,NA,NA,0,NA,NA,NA
1987,SEA URCHIN,653.246818,1440161,1.44,"$236,391",$0.24,$0.16
1988,SEA URCHIN,2822.07546,6221604,6.222,"$1,758,805",$1.76,$0.28
1989,SEA URCHIN,4275.533197999999,9425926,9.426,"$3,608,475",$3.61,$0.38
1990,SEA URCHIN,6104.753654,13458662,13.459,"$6,045,618",$6.05,$0.45
1991,SEA URCHIN,9314.716822,20535411,20.535,"$11,158,425",$11.16,$0.54
1992,SEA URCHIN,11991.92514,26437638,26.438,"$15,148,449",$15.15,$0.57
1993,SEA URCHIN,18880.99037,41625409,41.625,"$26,816,313",$26.82,$0.64
1994,SEA URCHIN,17371.071659999998,38296612,38.297,"$33,083,336",$33.08,$0.86
1995,SEA URCHIN,15543.99035,34268592,34.269,"$35,604,275",$35.60,$1.04
1996,SEA URCHIN,11676.84726,25743011,25.743,"$28,778,169",$28.78,$1.12
1997,SEA URCHIN,8840.078108999998,19489013,19.489,"$21,256,800",$21.26,$1.09
1998,SEA URCHIN,6828.327784,15053868,15.054,"$17,072,498",$17.07,$1.13
1999,SEA URCHIN,7001.336285,15435286,15.435,"$20,300,142",$20.30,$1.32
2000,SEA URCHIN,5850.394626000001,12897897,12.898,"$17,739,333",$17.74,$1.38
2001,SEA URCHIN,4557.791365,10048198,10.048,"$12,969,562",$12.97,$1.29
2002,SEA URCHIN,2867.266014,6321232,6.321,"$7,657,398",$7.66,$1.21
2003,SEA URCHIN,2704.62,5962668,5.963,"$8,569,109",$8.57,$1.44
2004,SEA URCHIN,2604.51,5741945,5.742,"$7,865,930",$7.87,$1.37
2005,SEA URCHIN,1595.31,3517048,3.517,"$5,142,213",$5.14,$1.46
2006,SEA URCHIN,1529.41,3371761,3.372,"$4,741,065",$4.74,$1.41
2007,SEA URCHIN,1254.54,2765778,2.766,"$4,377,512",$4.38,$1.58
2008,SEA URCHIN,1387.1399999999999,3058114,3.058,"$5,645,829",$5.65,$1.85
2009,SEA URCHIN,1581.56,3486741,3.487,"$5,866,376",$5.87,$1.68
2010,SEA URCHIN,1175.49,2591516,2.592,"$5,489,826",$5.49,$2.12
2011,SEA URCHIN,1091.83,2407074,2.407,"$5,113,355",$5.11,$2.12
2012,SEA URCHIN,863.61,1903922,1.904,"$5,024,329",$5.02,$2.64
2013,SEA URCHIN,901.71,1987929,1.988,"$5,781,216",$5.78,$2.91
2014,SEA URCHIN,888.2700000000001,1958303,1.958,"$5,281,916",$5.28,$2.70
2015,SEA URCHIN,884.76,1950569,1.951,"$5,386,788",$5.39,$2.76
2016,SEA URCHIN,933.64,2058313,2.058,"$6,619,335",$6.62,$3.22
2017,SEA URCHIN,885.62,1952462,1.952,"$6,104,971",$6.10,$3.13
2018,SEA URCHIN,926.8399999999999,2043325,2.043,"$6,206,944",$6.21,$3.04
2019,SEA URCHIN,774.1800000000001,1706781,1.707,"$5,835,917",$5.84,$3.42
1964,"SEAWEEDS, COMBINED",1131.71,2495000,2.495,"$43,663",$0.04,$0.02
1965,"SEAWEEDS, COMBINED",1313.15,2895000,2.895,"$50,663",$0.05,$0.02
1966,"SEAWEEDS, COMBINED",1106.77,2440000,2.44,"$45,002",$0.05,$0.02
1967,"SEAWEEDS, COMBINED",1442.43,3180000,3.18,"$55,650",$0.06,$0.02
1968,"SEAWEEDS, COMBINED",2313.32,5100000,5.1,"$153,000",$0.15,$0.03
1970,"SEAWEEDS, COMBINED",1150.99,2537500,2.5375,"$76,125",$0.08,$0.03
1971,"SEAWEEDS, COMBINED",213.19,470000,0.47,"$14,100",$0.01,$0.03
1972,"SEAWEEDS, COMBINED",147.42,325000,0.325,"$8,938",$0.01,$0.03
1973,"SEAWEEDS, COMBINED",386.46,852000,0.852,"$26,900",$0.03,$0.03
1974,"SEAWEEDS, COMBINED",1241.03,2736000,2.736,"$109,440",$0.11,$0.04
1975,"SEAWEEDS, COMBINED",1056.87,2330000,2.33,"$93,200",$0.09,$0.04
1976,"SEAWEEDS, COMBINED",1814.37,4e+06,4,"$160,000",$0.16,$0.04
1977,"SEAWEEDS, COMBINED",938.68,2069440,2.0694,"$109,378",$0.11,$0.05
1978,"SEAWEEDS, COMBINED",551.53,1215924,1.2159,"$85,899",$0.09,$0.07
1979,"SEAWEEDS, COMBINED",403.7,890000,0.89,"$51,400",$0.05,$0.06
1980,"SEAWEEDS, COMBINED",458.13,1010000,1.01,"$60,600",$0.06,$0.06
1981,"SEAWEEDS, COMBINED",254.01,560000,0.56,"$35,000",$0.04,$0.06
1989,"SEAWEEDS, COMBINED",2976.88,6562884,6.5629,"$328,144",$0.33,$0.05
1990,"SEAWEEDS, COMBINED",65.55,144517,0.1445,"$10,679",$0.01,$0.07
