STRATUM,YEAR,SEASON,SVSPP,n_individ,tot_mass,n_station,n_tow,n_individ_PUE,tot_mass_PUE,SCINAME,COMNAME
01240,1980,autumn,015,19,42.300000000000004,5,5,3.8,8.46,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1980,autumn,027,6,3.8,3,3,2,1.2666666666666666,MALACORAJA SENTA,SMOOTH SKATE
01240,1980,autumn,028,26,130,6,6,4.333333333333333,21.666666666666668,AMBLYRAJA RADIATA,THORNY SKATE
01240,1980,autumn,033,1,0.6,1,1,1,0.6,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1980,autumn,056,1,0,1,1,1,0,MYCTOPHIDAE,LANTERNFISH UNCL
01240,1980,autumn,072,292,73.4,6,6,48.666666666666664,12.233333333333334,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1980,autumn,073,9,66.2,3,3,3,22.066666666666666,GADUS MORHUA,ATLANTIC COD
01240,1980,autumn,074,88,216.8,6,6,14.666666666666666,36.13333333333333,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1980,autumn,075,7,53,2,2,3.5,26.5,POLLACHIUS VIRENS,POLLOCK
01240,1980,autumn,076,78,212.7,4,4,19.5,53.175,UROPHYCIS TENUIS,WHITE HAKE
01240,1980,autumn,077,21,4.5,5,5,4.2,0.9,UROPHYCIS CHUSS,RED HAKE
01240,1980,autumn,084,3,15.5,1,1,3,15.5,BROSME BROSME,CUSK
01240,1980,autumn,102,278,103.8,6,6,46.333333333333336,17.3,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1980,autumn,107,11,11.9,4,4,2.75,2.975,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1980,autumn,131,11,0.5,4,4,2.75,0.125,PEPRILUS TRIACANTHUS,BUTTERFISH
01240,1980,autumn,155,17,10.5,5,5,3.4,2.1,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1980,autumn,159,1,0,1,1,1,0,ARTEDIELLUS SP,HOOKEAR SCULPIN UNCL
01240,1980,autumn,164,1,0.3,1,1,1,0.3,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1980,autumn,193,1,0.2,1,1,1,0.2,MACROZOARCES AMERICANUS,OCEAN POUT
01240,1980,autumn,197,4,26.2,3,3,1.3333333333333333,8.733333333333333,LOPHIUS AMERICANUS,GOOSEFISH
01240,1980,autumn,205,1,0.1,1,1,1,0.1,SCOMBERESOX SAURUS,ATLANTIC SAURY
01240,1980,autumn,305,NA,2.1,5,5,NA,0.42000000000000004,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1980,autumn,306,118,1.6,3,3,39.333333333333336,0.5333333333333333,PANDALUS BOREALIS,NORTHERN SHRIMP
01240,1980,autumn,502,331,105.5,5,5,66.2,21.1,ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID
01240,1980,spring,015,4,13.8,3,3,1.3333333333333333,4.6000000000000005,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1980,spring,027,10,5.6,3,3,3.3333333333333335,1.8666666666666665,MALACORAJA SENTA,SMOOTH SKATE
01240,1980,spring,028,11,10.2,4,4,2.75,2.55,AMBLYRAJA RADIATA,THORNY SKATE
01240,1980,spring,033,2,0.6,2,2,1,0.3,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1980,spring,072,112,8.1,5,5,22.4,1.6199999999999999,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1980,spring,073,3,42.2,2,2,1.5,21.1,GADUS MORHUA,ATLANTIC COD
01240,1980,spring,074,2,4.7,2,2,1,2.35,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1980,spring,076,33,36.4,4,4,8.25,9.1,UROPHYCIS TENUIS,WHITE HAKE
01240,1980,spring,077,68,16.3,4,4,17,4.075,UROPHYCIS CHUSS,RED HAKE
01240,1980,spring,084,3,19.9,2,2,1.5,9.95,BROSME BROSME,CUSK
01240,1980,spring,102,68,19.3,6,6,11.333333333333334,3.216666666666667,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1980,spring,104,6,1.8,3,3,2,0.6,PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER
01240,1980,spring,107,13,10.3,4,4,3.25,2.575,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1980,spring,155,23,22.4,4,4,5.75,5.6,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1980,spring,181,1,0.1,1,1,1,0.1,AMMODYTES DUBIUS,NORTHERN SAND LANCE
01240,1980,spring,192,1,3,1,1,1,3,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1980,spring,193,1,3,1,1,1,3,MACROZOARCES AMERICANUS,OCEAN POUT
01240,1980,spring,197,7,32.9,5,5,1.4,6.58,LOPHIUS AMERICANUS,GOOSEFISH
01240,1980,spring,305,NA,0.30000000000000004,2,2,NA,0.15000000000000002,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1980,spring,306,8,0,2,2,4,0,PANDALUS BOREALIS,NORTHERN SHRIMP
01240,1981,autumn,001,1,0,1,1,1,0,MYXINE GLUTINOSA,ATLANTIC HAGFISH
01240,1981,autumn,015,6,11.7,4,4,1.5,2.925,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1981,autumn,023,2,8.6,2,2,1,4.3,LEUCORAJA OCELLATA,WINTER SKATE
01240,1981,autumn,028,6,19.9,4,4,1.5,4.975,AMBLYRAJA RADIATA,THORNY SKATE
01240,1981,autumn,033,1,0.5,1,1,1,0.5,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1981,autumn,072,38,11.6,5,5,7.6,2.32,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1981,autumn,073,133,389.6,5,5,26.6,77.92,GADUS MORHUA,ATLANTIC COD
01240,1981,autumn,074,182,162.9,4,4,45.5,40.725,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1981,autumn,075,3,7.1000000000000005,3,3,1,2.3666666666666667,POLLACHIUS VIRENS,POLLOCK
01240,1981,autumn,076,11,14.3,3,3,3.6666666666666665,4.766666666666667,UROPHYCIS TENUIS,WHITE HAKE
01240,1981,autumn,077,17,10.3,3,3,5.666666666666667,3.4333333333333336,UROPHYCIS CHUSS,RED HAKE
01240,1981,autumn,084,1,0.2,1,1,1,0.2,BROSME BROSME,CUSK
01240,1981,autumn,102,187,74,6,6,31.166666666666668,12.333333333333334,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1981,autumn,105,1,0.3,1,1,1,0.3,LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER
01240,1981,autumn,107,11,11,5,5,2.2,2.2,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1981,autumn,155,50,30.4,5,5,10,6.08,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1981,autumn,163,7,2.7,2,2,3.5,1.35,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1981,autumn,164,3,3.6,2,2,1.5,1.8,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1981,autumn,192,6,52,1,1,6,52,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1981,autumn,193,15,13,3,3,5,4.333333333333333,MACROZOARCES AMERICANUS,OCEAN POUT
01240,1981,autumn,305,NA,1,2,2,NA,0.5,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1981,autumn,306,185,1.8,1,1,185,1.8,PANDALUS BOREALIS,NORTHERN SHRIMP
01240,1981,autumn,502,1723,656.1,4,4,430.75,164.025,ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID
01240,1981,spring,001,1,0,1,1,1,0,MYXINE GLUTINOSA,ATLANTIC HAGFISH
01240,1981,spring,015,4,18,1,1,4,18,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1981,spring,023,2,7,2,2,1,3.5,LEUCORAJA OCELLATA,WINTER SKATE
01240,1981,spring,027,11,2.3,4,4,2.75,0.575,MALACORAJA SENTA,SMOOTH SKATE
01240,1981,spring,028,16,42.1,5,5,3.2,8.42,AMBLYRAJA RADIATA,THORNY SKATE
01240,1981,spring,032,2,0.2,2,2,1,0.1,CLUPEA HARENGUS,ATLANTIC HERRING
01240,1981,spring,033,6,0.8,3,3,2,0.26666666666666666,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1981,spring,072,108,12.1,4,4,27,3.025,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1981,spring,073,22,90.6,5,5,4.4,18.119999999999997,GADUS MORHUA,ATLANTIC COD
01240,1981,spring,074,228,270.4,6,6,38,45.06666666666666,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1981,spring,075,4,33.7,4,4,1,8.425,POLLACHIUS VIRENS,POLLOCK
01240,1981,spring,076,102,63,6,6,17,10.5,UROPHYCIS TENUIS,WHITE HAKE
01240,1981,spring,077,104,36.6,6,6,17.333333333333332,6.1000000000000005,UROPHYCIS CHUSS,RED HAKE
01240,1981,spring,079,1,0.1,1,1,1,0.1,UROPHYCIS CHESTERI,LONGFIN HAKE
01240,1981,spring,101,1,3.5,1,1,1,3.5,HIPPOGLOSSUS HIPPOGLOSSUS,ATLANTIC HALIBUT
01240,1981,spring,102,303,74.2,6,6,50.5,12.366666666666667,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1981,spring,107,41,42.3,5,5,8.2,8.459999999999999,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1981,spring,155,216,126.2,6,6,36,21.033333333333335,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1981,spring,156,1,0.1,1,1,1,0.1,HELICOLENUS DACTYLOPTERUS,BLACKBELLY ROSEFISH
01240,1981,spring,163,2,0.30000000000000004,2,2,1,0.15000000000000002,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1981,spring,164,6,0.8,3,3,2,0.26666666666666666,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1981,spring,181,47,0.30000000000000004,3,3,15.666666666666666,0.10000000000000002,AMMODYTES DUBIUS,NORTHERN SAND LANCE
01240,1981,spring,190,2,0,1,1,2,0,LYCENCHELYS VERRILLI,WOLF EELPOUT
01240,1981,spring,192,1,2.5,1,1,1,2.5,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1981,spring,194,1,0,1,1,1,0,LEPOPHIDIUM PROFUNDORUM,FAWN CUSK-EEL
01240,1981,spring,197,11,69.8,5,5,2.2,13.959999999999999,LOPHIUS AMERICANUS,GOOSEFISH
01240,1981,spring,301,1,1.3,1,1,1,1.3,HOMARUS AMERICANUS,AMERICAN LOBSTER
01240,1981,spring,305,NA,0.6,4,4,NA,0.15,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1981,spring,306,35,0.30000000000000004,3,3,11.666666666666666,0.10000000000000002,PANDALUS BOREALIS,NORTHERN SHRIMP
01240,1981,spring,312,1,0.7,1,1,1,0.7,CANCER BOREALIS,JONAH CRAB
01240,1981,spring,313,1,0.1,1,1,1,0.1,CANCER IRRORATUS,ATLANTIC ROCK CRAB
01240,1981,spring,401,2,0,2,2,1,0,PLACOPECTEN MAGELLANICUS,SEA SCALLOP
01240,1981,spring,510,NA,0.2,4,4,NA,0.05,OCTOPODA,OCTOPUS UNCL
01240,1982,autumn,001,1,0,1,1,1,0,MYXINE GLUTINOSA,ATLANTIC HAGFISH
01240,1982,autumn,015,11,17.4,5,5,2.2,3.4799999999999995,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1982,autumn,023,2,0.4,1,1,2,0.4,LEUCORAJA OCELLATA,WINTER SKATE
01240,1982,autumn,027,1,0.2,1,1,1,0.2,MALACORAJA SENTA,SMOOTH SKATE
01240,1982,autumn,028,4,17.8,3,3,1.3333333333333333,5.933333333333334,AMBLYRAJA RADIATA,THORNY SKATE
01240,1982,autumn,032,1,0.2,1,1,1,0.2,CLUPEA HARENGUS,ATLANTIC HERRING
01240,1982,autumn,033,1,0.4,1,1,1,0.4,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1982,autumn,056,13,0,2,2,6.5,0,MYCTOPHIDAE,LANTERNFISH UNCL
01240,1982,autumn,072,259,11,8,8,32.375,1.375,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1982,autumn,073,52,109.5,6,6,8.666666666666666,18.25,GADUS MORHUA,ATLANTIC COD
01240,1982,autumn,074,53,76.2,7,7,7.571428571428571,10.885714285714286,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1982,autumn,075,5,12.600000000000001,2,2,2.5,6.300000000000001,POLLACHIUS VIRENS,POLLOCK
01240,1982,autumn,076,4,4.5,3,3,1.3333333333333333,1.5,UROPHYCIS TENUIS,WHITE HAKE
01240,1982,autumn,077,5,2.1,3,3,1.6666666666666667,0.7000000000000001,UROPHYCIS CHUSS,RED HAKE
01240,1982,autumn,084,3,7.8,3,3,1,2.6,BROSME BROSME,CUSK
01240,1982,autumn,101,1,1.8,1,1,1,1.8,HIPPOGLOSSUS HIPPOGLOSSUS,ATLANTIC HALIBUT
01240,1982,autumn,102,164,45.9,7,7,23.428571428571427,6.557142857142857,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1982,autumn,105,1,1.3,1,1,1,1.3,LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER
01240,1982,autumn,107,4,5.7,3,3,1.3333333333333333,1.9000000000000001,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1982,autumn,109,1,0,1,1,1,0,CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER
01240,1982,autumn,155,95,60.7,6,6,15.833333333333334,10.116666666666667,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1982,autumn,156,1,0,1,1,1,0,HELICOLENUS DACTYLOPTERUS,BLACKBELLY ROSEFISH
01240,1982,autumn,159,4,0,1,1,4,0,ARTEDIELLUS SP,HOOKEAR SCULPIN UNCL
01240,1982,autumn,161,7,0,1,1,7,0,TRIGLOPS MURRAYI,MOUSTACHE SCULPIN
01240,1982,autumn,163,20,1.9,2,2,10,0.95,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1982,autumn,164,2,1.7000000000000002,2,2,1,0.8500000000000001,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1982,autumn,183,4,0,3,3,1.3333333333333333,0,LUMPENUS MACULATUS,DAUBED SHANNY
01240,1982,autumn,184,2,0,1,1,2,0,ULVARIA SUBBIFURCATA,RADIATED SHANNY
01240,1982,autumn,192,1,0,1,1,1,0,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1982,autumn,197,3,16,3,3,1,5.333333333333333,LOPHIUS AMERICANUS,GOOSEFISH
01240,1982,autumn,262,2,0,1,1,2,0,MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT
01240,1982,autumn,305,NA,8.9,8,8,NA,1.1125,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1982,autumn,502,20,6.5,7,7,2.857142857142857,0.9285714285714286,ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID
01240,1982,spring,015,34,89.1,5,5,6.8,17.82,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1982,spring,027,2,1.7,1,1,2,1.7,MALACORAJA SENTA,SMOOTH SKATE
01240,1982,spring,028,9,28.5,3,3,3,9.5,AMBLYRAJA RADIATA,THORNY SKATE
01240,1982,spring,033,21,2,4,4,5.25,0.5,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1982,spring,035,1,0,1,1,1,0,ALOSA SAPIDISSIMA,AMERICAN SHAD
01240,1982,spring,072,158,9.8,5,5,31.6,1.9600000000000002,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1982,spring,073,17,67,4,4,4.25,16.75,GADUS MORHUA,ATLANTIC COD
01240,1982,spring,074,3,10.4,2,2,1.5,5.2,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1982,spring,075,1,1.2,1,1,1,1.2,POLLACHIUS VIRENS,POLLOCK
01240,1982,spring,076,24,23.8,5,5,4.8,4.76,UROPHYCIS TENUIS,WHITE HAKE
01240,1982,spring,077,63,17.8,4,4,15.75,4.45,UROPHYCIS CHUSS,RED HAKE
01240,1982,spring,084,1,5,1,1,1,5,BROSME BROSME,CUSK
01240,1982,spring,102,347,120,6,6,57.833333333333336,20,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1982,spring,104,1,0.1,1,1,1,0.1,PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER
01240,1982,spring,105,2,1.1,1,1,2,1.1,LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER
01240,1982,spring,107,8,8.9,4,4,2,2.225,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1982,spring,155,91,71.3,2,2,45.5,35.65,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1982,spring,163,1,0.1,1,1,1,0.1,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1982,spring,164,4,5.5,1,1,4,5.5,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1982,spring,181,1,0,1,1,1,0,AMMODYTES DUBIUS,NORTHERN SAND LANCE
01240,1982,spring,192,2,8,2,2,1,4,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1982,spring,193,19,39,1,1,19,39,MACROZOARCES AMERICANUS,OCEAN POUT
01240,1982,spring,197,1,20,1,1,1,20,LOPHIUS AMERICANUS,GOOSEFISH
01240,1982,spring,301,2,2.2,1,1,2,2.2,HOMARUS AMERICANUS,AMERICAN LOBSTER
01240,1982,spring,305,NA,12,4,4,NA,3,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1982,spring,401,1,0,1,1,1,0,PLACOPECTEN MAGELLANICUS,SEA SCALLOP
01240,1983,autumn,015,16,18.599999999999998,4,4,4,4.6499999999999995,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1983,autumn,026,1,0.9,1,1,1,0.9,LEUCORAJA ERINACEA,LITTLE SKATE
01240,1983,autumn,027,8,4.2,3,3,2.6666666666666665,1.4000000000000001,MALACORAJA SENTA,SMOOTH SKATE
01240,1983,autumn,028,11,23.1,5,5,2.2,4.62,AMBLYRAJA RADIATA,THORNY SKATE
01240,1983,autumn,032,2,0.8,1,1,2,0.8,CLUPEA HARENGUS,ATLANTIC HERRING
01240,1983,autumn,072,177,30.7,6,6,29.5,5.116666666666666,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1983,autumn,073,3,30.7,3,3,1,10.233333333333333,GADUS MORHUA,ATLANTIC COD
01240,1983,autumn,074,10,41.5,3,3,3.3333333333333335,13.833333333333334,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1983,autumn,076,33,55.699999999999996,6,6,5.5,9.283333333333333,UROPHYCIS TENUIS,WHITE HAKE
01240,1983,autumn,077,23,5.9,5,5,4.6,1.1800000000000002,UROPHYCIS CHUSS,RED HAKE
01240,1983,autumn,083,1,0.1,1,1,1,0.1,ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING
01240,1983,autumn,102,114,52.9,6,6,19,8.816666666666666,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1983,autumn,107,10,6,2,2,5,3,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
