YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICEperLB,NUM_LICENSE_HOLDERS,NUM_TRAPS_MILLIONS,WATER_TEMP_BOOTHBAY_HARBOR_C
1880,"LOBSTER, AMERICAN",6456.932746187,14235100,14.2351,"$300,000",0.3,$0.02,"2,763",0.104,NA
1881,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1882,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1885,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1886,"LOBSTER, AMERICAN",10432.896665422,23000600,23.0006,NA,NA,$0.00,NA,NA,NA
1887,"LOBSTER, AMERICAN",10394.885624816,22916800,22.9168,"$500,000",0.5,$0.02,"1,906",0.109,NA
1888,"LOBSTER, AMERICAN",9840.913263335,21695500,21.6955,"$500,000",0.5,$0.02,"1,967",0.107,NA
1889,"LOBSTER, AMERICAN",11090.877757344,24451200,24.4512,"$500,000",0.5,$0.02,"2,080",0.121,NA
1890,"LOBSTER, AMERICAN",9070.894856023,19997900,19.9979,NA,NA,$0.00,NA,NA,NA
1891,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,"LOBSTER, AMERICAN",8002.911620858,17643400,17.6434,"$700,000",0.7,$0.04,"2,628",0.153,NA
1893,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,0.2,NA
1895,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,"LOBSTER, AMERICAN",5084.951904648,11210400,11.2104,"$800,000",0.8,$0.07,"2,436",0.234,NA
1898,"LOBSTER, AMERICAN",5564.943350582,12268600,12.2686,"$900,000",0.9,$0.07,"3,103",0.279,NA
1899,"LOBSTER, AMERICAN",5768.923839371,12718300,12.7183,"$1,000,000",1.0,$0.08,"3,116",0.335,NA
1900,"LOBSTER, AMERICAN",6534.950633827,14407100,14.4071,"$1,000,000",1.0,$0.07,"3,105",0.327,NA
1901,"LOBSTER, AMERICAN",6342.944983606,13983800,13.9838,"$1,000,000",1.0,$0.07,"2,788",0.304,NA
1902,"LOBSTER, AMERICAN",6496.939593221,14323300,14.3233,"$1,200,000",1.2,$0.08,"2,541",0.298,NA
1903,"LOBSTER, AMERICAN",5948.954651024,13115200,13.1152,"$1,200,000",1.2,$0.09,"2,558",0.268,NA
1904,"LOBSTER, AMERICAN",5480.9380436579995,12083400,12.0834,"$1,100,000",1.1,$0.09,"2,509",0.264,NA
