CRUISE6,STRATUM,TOW,STATION,SHG,ID,AREA,SVVESSEL,CRUNUM,SVGEAR,BEGIN_EST_TOWDATE,END_EST_TOWDATE,BEGIN_GMT_TOWDATE,END_GMT_TOWDATE,EST_YEAR,EST_MONTH,EST_DAY,EST_JULIAN_DAY,EST_TIME,GMT_YEAR,GMT_MONTH,GMT_DAY,GMT_JULIAN_DAY,GMT_TIME,TOWDUR,SETDEPTH,ENDDEPTH,MINDEPTH,MAXDEPTH,AVGDEPTH,BEGLAT,BEGLON,ENDLAT,ENDLON,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,CABLE,PITCH,HEADING,COURSE,RPM,DOPDISTB,DOPDISTW,DESSPEED,AIRTEMP,CLOUD,BAROPRESS,WINDDIR,WINDSP,WEATHER,WAVEHGT,SWELLDIR,SWELLHGT,BKTTEMP,XBT,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN
199103,01400,001,0001,211,199103014000010001,513,DE,08,11,7/23/1991 8:33:00 AM,7/23/1991 9:03:00 AM,7/23/1991 1:33:00 PM,7/23/1991 2:03:00 PM,1991,07,23,2448461,08:33:00,1991,07,23,2448461,13:33:00,30,112,117,112,117,115,4303,7023,,,43.05,-70.383333,,,329,,41,41,145,,,3.5,20,8,1006,220,14,2,0.6,180,1,17.7,5,17.7,,4.4,
199103,01400,003,0003,211,199103014000030003,513,DE,08,11,7/23/1991 12:36:00 PM,7/23/1991 1:06:00 PM,7/23/1991 5:36:00 PM,7/23/1991 6:06:00 PM,1991,07,23,2448461,12:36:00,1991,07,23,2448461,17:36:00,30,103,105,103,105,104,4323,7012,,,43.383333,-70.2,,,320,,6,4,150,,,3.5,23,2,1004,205,16,2,0.2,180,0.3,16.4,5,16.2,,5.2,
199103,03750,001,0004,211,199103037500010004,513,DE,08,11,7/23/1991 2:14:00 PM,7/23/1991 2:44:00 PM,7/23/1991 7:14:00 PM,7/23/1991 7:44:00 PM,1991,07,23,2448461,14:14:00,1991,07,23,2448461,19:14:00,30,50,67,50,67,59,4331,7012,,,43.516667,-70.2,,,135,,182,183,150,,,3.5,20,5,1003,200,20,1,0.2,180,0.3,16.4,5,16.2,,6.3,
199103,03720,002,0006,211,199103037200020006,513,DE,08,11,7/23/1991 4:39:00 PM,7/23/1991 5:09:00 PM,7/23/1991 9:39:00 PM,7/23/1991 10:09:00 PM,1991,07,23,2448461,16:39:00,1991,07,23,2448461,21:39:00,30,76,55,55,76,66,4324,7016,,,43.4,-70.266667,,,229,,325,326,150,,,3.5,20,6,1002,185,14,1,0.2,180,0.3,,,,,,
199103,01400,004,0007,211,199103014000040007,513,DE,08,11,7/23/1991 6:38:00 PM,7/23/1991 7:08:00 PM,7/23/1991 11:38:00 PM,7/24/1991 12:08:00 AM,1991,07,23,2448461,18:38:00,1991,07,23,2448461,23:38:00,30,109,81,81,109,95,4329,7006,,,43.483333,-70.1,,,327,,340,341,145,,,3.5,20,5,1002,200,15,4,0.3,180,1,17,5,17,,5.6,
199103,01270,001,0008,211,199103012700010008,513,DE,08,11,7/23/1991 9:11:00 PM,7/23/1991 9:41:00 PM,7/24/1991 2:11:00 AM,7/24/1991 2:41:00 AM,1991,07,23,2448461,21:11:00,1991,07,24,2448462,02:11:00,30,120,120,119,120,120,4318,7010,,,43.3,-70.166667,,,357,,27,29,155,,,3.5,21,4,1002,240,15,1,0.5,180,0.9,17.3,5,17.2,,5,
199103,01270,002,0009,211,199103012700020009,513,DE,08,11,7/23/1991 10:59:00 PM,7/23/1991 11:29:00 PM,7/24/1991 3:59:00 AM,7/24/1991 4:29:00 AM,1991,07,23,2448461,22:59:00,1991,07,24,2448462,03:59:00,30,143,139,139,143,141,4315,7002,,,43.25,-70.033333,,,412,,149,159,150,,,3.5,21,6,1003,250,14,1,0.5,180,0.9,18.3,5,18.3,,5.2,
199103,01380,001,0010,211,199103013800010010,513,DE,08,11,7/24/1991 1:20:00 AM,7/24/1991 1:50:00 AM,7/24/1991 6:20:00 AM,7/24/1991 6:50:00 AM,1991,07,24,2448462,01:20:00,1991,07,24,2448462,06:20:00,30,153,167,153,167,160,4325,6957,,,43.416667,-69.95,,,457,,41,40,145,,,3.5,21,1,1002,250,17,1,0.2,180,0.3,17.6,5,17.6,,5.3,
199103,03740,002,0011,236,199103037400020011,513,DE,08,11,7/24/1991 4:02:00 AM,7/24/1991 4:32:00 AM,7/24/1991 9:02:00 AM,7/24/1991 9:32:00 AM,1991,07,24,2448462,04:02:00,1991,07,24,2448462,09:02:00,30,54,56,54,56,55,4340,7003,,,43.666667,-70.05,,,162,,186,193,145,,,3.5,19,3,1005,260,4,1,0,180,1,14.6,5,14.4,,7.7,
199103,03770,001,0012,211,199103037700010012,513,DE,08,11,7/24/1991 6:15:00 AM,7/24/1991 6:45:00 AM,7/24/1991 11:15:00 AM,7/24/1991 11:45:00 AM,1991,07,24,2448462,06:15:00,1991,07,24,2448462,11:15:00,30,31,32,31,35,32,4341,6950,,,43.683333,-69.833333,,,93,,189,186,145,,,3.5,20,3,1006,310,9,1,0,180,1,14.6,5,11.8,,8.3,
