CRUISE6,STRATUM,TOW,STATION,ID,LOGGED_SPECIES_NAME,SVSPP,CATCHSEX,EXPCATCHNUM,EXPCATCHWT
199103,01380,007,0049,199103013800070049,SPINY DOGFISH,015,1,854,659
199103,01380,007,0049,199103013800070049,SPINY DOGFISH,015,2,836,582
199103,01380,007,0049,199103013800070049,THORNY SKATE,028,0,2,3.3
199103,01380,007,0049,199103013800070049,ATLANTIC HERRING,032,0,208,44
199103,01380,007,0049,199103013800070049,ALEWIFE,033,0,37,3.4
199103,01380,007,0049,199103013800070049,AMERICAN SHAD,035,0,3,1.7
199103,01380,007,0049,199103013800070049,SILVER HAKE,072,0,9,0.7
199103,01380,007,0049,199103013800070049,ATLANTIC COD,073,0,6,14
199103,01380,007,0049,199103013800070049,POLLOCK,075,0,2,0.5
199103,01380,007,0049,199103013800070049,WHITE HAKE,076,0,39,34
199103,01380,007,0049,199103013800070049,RED HAKE,077,0,2,0.4
199103,01380,007,0049,199103013800070049,AMERICAN PLAICE,102,0,14,2.3
199103,01380,007,0049,199103013800070049,WINTER FLOUNDER,106,0,1,0.5
199103,01380,007,0049,199103013800070049,WITCH FLOUNDER,107,0,4,0.6
199103,01380,007,0049,199103013800070049,BUTTERFISH,131,0,4,0.3
199103,01380,007,0049,199103013800070049,ACADIAN REDFISH,155,0,4,0.9
199103,01380,007,0049,199103013800070049,LONGHORN SCULPIN,163,0,5,1
199103,01380,007,0049,199103013800070049,SEA RAVEN,164,0,1,1.8
199103,01380,007,0049,199103013800070049,SNAKEBLENNY,182,0,1,0
199103,01380,007,0049,199103013800070049,OCEAN POUT,193,0,15,6.2
199103,01380,007,0049,199103013800070049,GOOSEFISH,197,0,1,1
199103,01380,007,0049,199103013800070049,SHRIMP UNCL,305,0,,0.3
199103,01380,007,0049,199103013800070049,NORTHERN SHORTFIN SQUID,502,0,19,1.2
199103,01380,009,0053,199103013800090053,SPINY DOGFISH,015,1,1,1.8
199103,01380,009,0053,199103013800090053,SMOOTH SKATE,027,0,1,0.2
199103,01380,009,0053,199103013800090053,THORNY SKATE,028,0,2,0.5
199103,01380,009,0053,199103013800090053,ATLANTIC HERRING,032,0,11,1.9
199103,01380,009,0053,199103013800090053,ALEWIFE,033,0,1,0.1
199103,01380,009,0053,199103013800090053,SILVER HAKE,072,0,185,16.5
199103,01380,009,0053,199103013800090053,POLLOCK,075,0,1,0.1
199103,01380,009,0053,199103013800090053,WHITE HAKE,076,0,16,14
199103,01380,009,0053,199103013800090053,RED HAKE,077,0,1,0.3
199103,01380,009,0053,199103013800090053,FOURBEARD ROCKLING,083,0,1,0.1
199103,01380,009,0053,199103013800090053,AMERICAN PLAICE,102,0,4,1.5
199103,01380,009,0053,199103013800090053,WITCH FLOUNDER,107,0,8,1.3
199103,01380,009,0053,199103013800090053,GOOSEFISH,197,0,3,0.5
199103,01380,009,0053,199103013800090053,SHRIMP UNCL,305,0,,0.5
199103,01380,009,0053,199103013800090053,NORTHERN SHRIMP,306,0,28,0.3
199103,01380,009,0053,199103013800090053,RED DEEPSEA CRAB,310,0,1,0.6
199103,01380,009,0053,199103013800090053,NORTHERN SHORTFIN SQUID,502,0,6,0.6
199103,01380,010,0054,199103013800100054,SPINY DOGFISH,015,1,2,1.1
199103,01380,010,0054,199103013800100054,SMOOTH SKATE,027,0,1,0.1
199103,01380,010,0054,199103013800100054,ATLANTIC HERRING,032,0,73,12
199103,01380,010,0054,199103013800100054,SILVER HAKE,072,0,270,19.7
199103,01380,010,0054,199103013800100054,WHITE HAKE,076,0,3,3.6
199103,01380,010,0054,199103013800100054,RED HAKE,077,0,5,0.7
199103,01380,010,0054,199103013800100054,FOURBEARD ROCKLING,083,0,1,0.1
199103,01380,010,0054,199103013800100054,AMERICAN PLAICE,102,0,1,0.5
199103,01380,010,0054,199103013800100054,WITCH FLOUNDER,107,0,2,0.3
199103,01380,010,0054,199103013800100054,GOOSEFISH,197,0,2,0.3
199103,01380,010,0054,199103013800100054,SHRIMP UNCL,305,0,,3.6
199103,01380,010,0054,199103013800100054,NORTHERN SHRIMP,306,0,266,3.3
199103,01380,010,0054,199103013800100054,NORTHERN SHORTFIN SQUID,502,0,2,0.2
199103,01380,011,0055,199103013800110055,SPINY DOGFISH,015,1,1,0.7
199103,01380,011,0055,199103013800110055,SMOOTH SKATE,027,0,2,1.4
199103,01380,011,0055,199103013800110055,THORNY SKATE,028,0,6,22
199103,01380,011,0055,199103013800110055,ATLANTIC HERRING,032,0,4742,1006.7
199103,01380,011,0055,199103013800110055,SILVER HAKE,072,0,229,18.5
199103,01380,011,0055,199103013800110055,ATLANTIC COD,073,0,6,2.6
199103,01380,011,0055,199103013800110055,WHITE HAKE,076,0,34,29
199103,01380,011,0055,199103013800110055,RED HAKE,077,0,8,2.2
199103,01380,011,0055,199103013800110055,CUSK,084,0,1,6.7
199103,01380,011,0055,199103013800110055,AMERICAN PLAICE,102,0,4,1.4
199103,01380,011,0055,199103013800110055,WITCH FLOUNDER,107,0,6,2.2
199103,01380,011,0055,199103013800110055,ACADIAN REDFISH,155,0,11,1.2
199103,01380,011,0055,199103013800110055,SEA RAVEN,164,0,2,1.2
199103,01380,011,0055,199103013800110055,GOOSEFISH,197,0,2,0.5
199103,01380,011,0055,199103013800110055,SHRIMP UNCL,305,0,,0.7
199103,01380,011,0055,199103013800110055,NORTHERN SHRIMP,306,0,43,0.7
199103,01380,011,0055,199103013800110055,JONAH CRAB,312,1,1,0.3
199103,01380,011,0055,199103013800110055,NORTHERN STONE CRAB,324,0,2,1
199103,01380,011,0055,199103013800110055,SEA SCALLOP,401,0,1,0
199103,01380,011,0055,199103013800110055,NORTHERN SHORTFIN SQUID,502,0,7,1
199103,01270,004,0073,199103012700040073,ATLANTIC HAGFISH,001,0,2,0.5
199103,01270,004,0073,199103012700040073,SPINY DOGFISH,015,1,2,1.3
199103,01270,004,0073,199103012700040073,SPINY DOGFISH,015,2,4,2.7
199103,01270,004,0073,199103012700040073,ATLANTIC HERRING,032,0,40,5
199103,01270,004,0073,199103012700040073,SILVER HAKE,072,0,7,0.6
199103,01270,004,0073,199103012700040073,POLLOCK,075,0,1,0.2
199103,01270,004,0073,199103012700040073,WHITE HAKE,076,0,19,7.4
199103,01270,004,0073,199103012700040073,RED HAKE,077,0,16,5.8
199103,01270,004,0073,199103012700040073,AMERICAN PLAICE,102,0,21,4.7
199103,01270,004,0073,199103012700040073,WITCH FLOUNDER,107,0,1,0.1
199103,01270,004,0073,199103012700040073,ACADIAN REDFISH,155,0,15,3
199103,01270,004,0073,199103012700040073,BLACKBELLY ROSEFISH,156,0,1,0.1
199103,01270,004,0073,199103012700040073,SEA RAVEN,164,0,2,0.3
199103,01270,004,0073,199103012700040073,WRYMOUTH,191,0,1,1.7
199103,01270,004,0073,199103012700040073,OCEAN POUT,193,0,1,0.2
199103,01270,004,0073,199103012700040073,GOOSEFISH,197,0,5,3.1
199103,01270,004,0073,199103012700040073,SHRIMP UNCL,305,0,,0.8
199103,01270,004,0073,199103012700040073,NORTHERN SHRIMP,306,0,75,0.7
199103,01270,004,0073,199103012700040073,NORTHERN SHORTFIN SQUID,502,0,2,0.1
199103,01270,006,0075,199103012700060075,ATLANTIC HERRING,032,0,1,0.3
199103,01270,006,0075,199103012700060075,SILVER HAKE,072,0,20,1.7
199103,01270,006,0075,199103012700060075,ATLANTIC COD,073,0,6,7.5
199103,01270,006,0075,199103012700060075,WHITE HAKE,076,0,30,16.5
199103,01270,006,0075,199103012700060075,RED HAKE,077,0,2,1.2
199103,01270,006,0075,199103012700060075,FOURBEARD ROCKLING,083,0,12,1.3
199103,01270,006,0075,199103012700060075,AMERICAN PLAICE,102,0,11,3.3
199103,01270,006,0075,199103012700060075,WITCH FLOUNDER,107,0,3,0.5
199103,01270,006,0075,199103012700060075,ACADIAN REDFISH,155,0,32,5.5
199103,01270,006,0075,199103012700060075,DAUBED SHANNY,183,0,1,0
199103,01270,006,0075,199103012700060075,WRYMOUTH,191,0,2,1.2
199103,01270,006,0075,199103012700060075,SHRIMP UNCL,305,0,,4.2
199103,01270,006,0075,199103012700060075,NORTHERN SHRIMP,306,0,424,3.1
199103,01270,006,0075,199103012700060075,RED DEEPSEA CRAB,310,0,1,0.5
199303,01240,003,0001,199303012400030001,ATLANTIC HERRING,032,0,71,11.7
199303,01240,003,0001,199303012400030001,SILVER HAKE,072,0,94,6.6
199303,01240,003,0001,199303012400030001,ATLANTIC COD,073,0,3,6
199303,01240,003,0001,199303012400030001,HADDOCK,074,0,2,0.8
199303,01240,003,0001,199303012400030001,WHITE HAKE,076,0,5,2.3
199303,01240,003,0001,199303012400030001,RED HAKE,077,0,5,1.3
199303,01240,003,0001,199303012400030001,AMERICAN PLAICE,102,0,15,5.2
199303,01240,003,0001,199303012400030001,ACADIAN REDFISH,155,0,14,3.4
199303,01240,003,0001,199303012400030001,BLACKBELLY ROSEFISH,156,0,1,0.2
199303,01240,003,0001,199303012400030001,ATLANTIC WOLFFISH,192,0,1,1.1
199303,01240,003,0001,199303012400030001,BRISTLED LONGBEAK,296,0,526,1
